ID_cliente;Nombre_producto;Cantidad;Precio_unitario(USD);Fecha;categoria;pais;ciudad;metodo_pago;edad_cliente;genero_cliente;calificación_satisfaccion
1;Reloj;5;$ 513;02/06/2024;Accesorios;Argentina;Buenos Aires;Efectivo;31;Femenino;3
2;Televisor;1;$ 307;11/12/2023;Electrónica;Argentina;Buenos Aires;Efectivo;29;Masculino;2
3;Laptop;9;$ 554;31/03/2024;Electrónica;España;Madrid;PayPal;40;Masculino;2
4;Jeans;4;$ 932;24/02/2024;Ropa;México;Ciudad de México;Efectivo;60;Masculino;1
5;Audífonos;6;$ 526;29/11/2023;Accesorios;Perú;Lima;Tarjeta de crédito;57;Masculino;5
6;Audífonos;6;$ 275;14/07/2024;Accesorios;España;Madrid;Tarjeta de crédito;18;Masculino;2
7;Smartphone;2;$ 879;30/12/2023;Electrónica;España;Madrid;Efectivo;42;Femenino;4
8;Audífonos;8;$ 378;13/07/2024;Accesorios;Colombia;Bogotá;Efectivo;66;Femenino;3
9;Televisor;9;$ 11;28/12/2023;Electrónica;Colombia;Bogotá;Tarjeta de crédito;45;Femenino;5
10;Camisas Polo;7;$ 255;26/11/2023;Ropa;Chile;Santiago;Tarjeta de crédito;48;Femenino;4
11;Reloj;5;$ 325;21/03/2024;Accesorios;España;Madrid;Efectivo;42;Femenino;3
12;Laptop;8;$ 860;25/10/2023;Electrónica;España;Madrid;Efectivo;46;Femenino;4
13;Laptop;4;$ 464;08/12/2023;Electrónica;Chile;Santiago;PayPal;42;Femenino;4
14;Reloj;6;$ 450;08/07/2024;Accesorios;España;Madrid;Tarjeta de crédito;48;Femenino;5
15;Cámara;4;$ 343;24/11/2023;Electrónica;España;Madrid;Efectivo;64;Femenino;3
16;Smartphone;7;$ 882;03/05/2024;Electrónica;Chile;Santiago;Efectivo;50;Masculino;4
17;Laptop;5;$ 946;06/06/2024;Electrónica;Chile;Santiago;Efectivo;64;Femenino;2
18;Smartphone;8;$ 992;09/06/2024;Electrónica;Chile;Santiago;Tarjeta de crédito;53;Femenino;5
19;Televisor;4;$ 383;05/06/2024;Electrónica;Argentina;Buenos Aires;PayPal;40;Masculino;1
20;Smartphone;1;$ 966;23/12/2023;Electrónica;Colombia;Bogotá;Efectivo;65;Femenino;2
21;Televisor;6;$ 794;15/05/2024;Electrónica;Chile;Santiago;PayPal;26;Femenino;3
22;Laptop;4;$ 679;12/11/2023;Electrónica;Argentina;Buenos Aires;Tarjeta de crédito;21;Masculino;2
23;Smartphone;8;$ 252;30/06/2024;Electrónica;Perú;Lima;PayPal;54;Masculino;4
24;Reloj;6;$ 224;29/03/2024;Accesorios;Colombia;Bogotá;PayPal;32;Masculino;1
